date,station_id,city,longitude,latitude,demand,priority_score
2026-01-01,S01,A,121.10,31.10,30,0.80
2026-01-01,S02,A,121.20,31.12,20,0.70
2026-01-01,S03,B,121.30,31.20,25,0.60
2026-01-01,S04,B,121.42,31.25,15,0.50
2026-01-01,S05,C,121.50,31.30,18,0.40
2026-01-01,S06,C,121.62,31.32,22,0.30
2026-01-02,S01,A,121.10,31.10,32,0.80
2026-01-02,S02,A,121.20,31.12,21,0.70
2026-01-02,S03,B,121.30,31.20,26,0.60
2026-01-02,S04,B,121.42,31.25,16,0.50
2026-01-02,S05,C,121.50,31.30,19,0.40
2026-01-02,S06,C,121.62,31.32,23,0.30
2026-01-03,S01,A,121.10,31.10,35,0.80
2026-01-03,S02,A,121.20,31.12,22,0.70
2026-01-03,S03,B,121.30,31.20,28,0.60
2026-01-03,S04,B,121.42,31.25,17,0.50
2026-01-03,S05,C,121.50,31.30,21,0.40
2026-01-03,S06,C,121.62,31.32,25,0.30
2026-01-04,S01,A,121.10,31.10,36,0.80
2026-01-04,S02,A,121.20,31.12,23,0.70
2026-01-04,S03,B,121.30,31.20,29,0.60
2026-01-04,S04,B,121.42,31.25,18,0.50
2026-01-04,S05,C,121.50,31.30,22,0.40
2026-01-04,S06,C,121.62,31.32,26,0.30
2026-01-05,S01,A,121.10,31.10,38,0.80
2026-01-05,S02,A,121.20,31.12,24,0.70
2026-01-05,S03,B,121.30,31.20,30,0.60
2026-01-05,S04,B,121.42,31.25,19,0.50
2026-01-05,S05,C,121.50,31.30,23,0.40
2026-01-05,S06,C,121.62,31.32,27,0.30
2026-01-06,S01,A,121.10,31.10,40,0.80
2026-01-06,S02,A,121.20,31.12,25,0.70
2026-01-06,S03,B,121.30,31.20,32,0.60
2026-01-06,S04,B,121.42,31.25,20,0.50
2026-01-06,S05,C,121.50,31.30,25,0.40
2026-01-06,S06,C,121.62,31.32,29,0.30
