question,uav,bomb_id,missile,speed_m_s,heading_deg_from_positive_x,heading_rad,release_time_s,fuse_delay_s,detonation_time_s,release_x_m,release_y_m,release_z_m,detonation_x_m,detonation_y_m,detonation_z_m,method
Q5,FY1,1,M1,102.300343,178.134234,3.109028901,0.000000,2.901762,2.901762,17800.000000,0.000000,1800.000000,17503.306120,9.664883,1758.740907,fixed-seed greedy marginal coverage search
Q5,FY2,1,M2,139.726112,228.256164,-2.299363711,3.779192,5.753242,9.532434,11648.422353,1006.005215,1400.000000,11113.199143,406.208399,1237.811001,fixed-seed greedy marginal coverage search
Q5,FY2,2,M1,139.726112,228.256164,-2.299363711,4.919247,7.955386,12.874633,11542.363227,887.150269,1400.000000,10802.274914,57.771786,1089.887973,fixed-seed greedy marginal coverage search
Q5,FY2,3,M3,139.726112,228.256164,-2.299363711,8.813295,7.672311,16.485606,11180.100575,481.181354,1400.000000,10466.346661,-318.685537,1111.564626,fixed-seed greedy marginal coverage search
Q5,FY3,1,M2,140.000000,114.559687,1.999443729,19.333844,6.231084,25.564928,4874.968786,-538.143805,700.000000,4512.383644,255.285273,509.750578,fixed-seed greedy marginal coverage search
Q5,FY3,2,M1,140.000000,114.559687,1.999443729,17.666470,6.855548,24.522019,4971.992804,-750.457184,700.000000,4573.070268,122.487409,469.707137,fixed-seed greedy marginal coverage search
Q5,FY3,3,M2,140.000000,114.559687,1.999443729,19.515377,5.947669,25.463046,4864.405385,-515.028381,700.000000,4518.312102,242.312291,526.663637,fixed-seed greedy marginal coverage search
Q5,FY4,1,M1,80.810739,234.010993,-2.198922999,17.271509,13.086260,30.357769,10179.831042,870.678698,1800.000000,9558.406201,15.015601,960.873974,fixed-seed greedy marginal coverage search
Q5,FY5,1,M1,140.000000,125.924199,2.197791885,12.614306,5.322361,17.936667,11963.860659,-569.901669,1300.000000,11526.681785,33.500549,1161.195099,fixed-seed greedy marginal coverage search
Q5,FY5,2,M2,140.000000,125.924199,2.197791885,17.872597,3.035687,20.908284,11531.944556,26.236777,1300.000000,11282.593133,370.396139,1254.844550,fixed-seed greedy marginal coverage search
Q5,FY5,3,M3,140.000000,125.924199,2.197791885,11.194540,3.192896,14.387436,12080.480243,-730.862137,1300.000000,11818.215702,-368.879856,1250.046535,fixed-seed greedy marginal coverage search
