sensitivity_type,input_value,mean_thickness_um,delta_from_base_um
refractive_index,2.500,8.161258,0.161242
refractive_index,2.505,8.144841,0.144825
refractive_index,2.510,8.128490,0.128474
refractive_index,2.515,8.112205,0.112189
refractive_index,2.520,8.095985,0.095969
refractive_index,2.525,8.079830,0.079814
refractive_index,2.530,8.063739,0.063723
refractive_index,2.535,8.047713,0.047697
refractive_index,2.540,8.031751,0.031735
refractive_index,2.545,8.015852,0.015836
refractive_index,2.550,8.000016,0.000000
refractive_index,2.555,7.984243,-0.015773
refractive_index,2.560,7.968532,-0.031484
refractive_index,2.565,7.952883,-0.047133
refractive_index,2.570,7.937295,-0.062720
refractive_index,2.575,7.921769,-0.078247
refractive_index,2.580,7.906304,-0.093712
refractive_index,2.585,7.890899,-0.109117
refractive_index,2.590,7.875554,-0.124462
refractive_index,2.595,7.860269,-0.139747
refractive_index,2.600,7.845044,-0.154972
incident_angle_offset_deg,-0.500,7.997781,-0.002235
incident_angle_offset_deg,-0.450,7.998001,-0.002015
incident_angle_offset_deg,-0.400,7.998221,-0.001795
incident_angle_offset_deg,-0.350,7.998442,-0.001573
incident_angle_offset_deg,-0.300,7.998665,-0.001351
incident_angle_offset_deg,-0.250,7.998888,-0.001128
incident_angle_offset_deg,-0.200,7.999112,-0.000904
incident_angle_offset_deg,-0.150,7.999336,-0.000680
incident_angle_offset_deg,-0.100,7.999562,-0.000454
incident_angle_offset_deg,-0.050,7.999788,-0.000227
incident_angle_offset_deg,0.000,8.000016,0.000000
incident_angle_offset_deg,0.050,8.000244,0.000228
incident_angle_offset_deg,0.100,8.000473,0.000457
incident_angle_offset_deg,0.150,8.000703,0.000687
incident_angle_offset_deg,0.200,8.000934,0.000918
incident_angle_offset_deg,0.250,8.001166,0.001150
incident_angle_offset_deg,0.300,8.001399,0.001383
incident_angle_offset_deg,0.350,8.001632,0.001616
incident_angle_offset_deg,0.400,8.001866,0.001851
incident_angle_offset_deg,0.450,8.002102,0.002086
incident_angle_offset_deg,0.500,8.002338,0.002322
