angle_deg,center_wavenumber,best_frequency,thickness_um,snr
10.0,1649.5,0.004444444,8.734873,1.527
10.0,1829.5,0.004444444,8.734873,1.688
10.0,2009.5,0.004444444,8.734873,1.609
10.0,2189.5,0.004444444,8.734873,1.456
10.0,2369.5,0.004444444,8.734873,1.441
10.0,2549.5,0.004444444,8.734873,1.604
10.0,2729.5,0.004444444,8.734873,1.682
10.0,2909.5,0.004444444,8.734873,1.548
10.0,3089.5,0.004444444,8.734873,1.423
10.0,3269.5,0.004444444,8.734873,1.493
15.0,1649.5,0.004444444,8.759835,1.447
15.0,1829.5,0.004444444,8.759835,1.605
15.0,2009.5,0.004444444,8.759835,1.608
15.0,2189.5,0.004444444,8.759835,1.453
15.0,2369.5,0.004444444,8.759835,1.388
15.0,2549.5,0.004444444,8.759835,1.496
15.0,2729.5,0.004444444,8.759835,1.643
15.0,2909.5,0.004444444,8.759835,1.556
15.0,3089.5,0.004444444,8.759835,1.409
15.0,3269.5,0.004444444,8.759835,1.410
