threshold_pct,late_weight,bmi_group,recommended_week,estimated_unqualified_rate,risk_score
3.8,0.06,<28,17.0,0.0000,0.3000
3.8,0.06,28-32,18.0,0.0000,0.3600
3.8,0.06,32-36,18.5,0.0000,0.3900
3.8,0.06,>=36,19.5,0.0000,0.4500
3.8,0.08,<28,17.0,0.0000,0.4000
3.8,0.08,28-32,18.0,0.0000,0.4800
3.8,0.08,32-36,18.5,0.0000,0.5200
3.8,0.08,>=36,19.5,0.0000,0.6000
3.8,0.10,<28,17.0,0.0000,0.5000
3.8,0.10,28-32,18.0,0.0000,0.6000
3.8,0.10,32-36,18.5,0.0000,0.6500
3.8,0.10,>=36,19.5,0.0000,0.7500
4.0,0.06,<28,17.5,0.0000,0.3300
4.0,0.06,28-32,18.0,0.0000,0.3600
4.0,0.06,32-36,19.0,0.0000,0.4200
4.0,0.06,>=36,19.5,0.0000,0.4500
4.0,0.08,<28,17.5,0.0000,0.4400
4.0,0.08,28-32,18.0,0.0000,0.4800
4.0,0.08,32-36,19.0,0.0000,0.5600
4.0,0.08,>=36,19.5,0.0000,0.6000
4.0,0.10,<28,17.5,0.0000,0.5500
4.0,0.10,28-32,18.0,0.0000,0.6000
4.0,0.10,32-36,19.0,0.0000,0.7000
4.0,0.10,>=36,19.5,0.0000,0.7500
4.2,0.06,<28,18.0,0.0000,0.3600
4.2,0.06,28-32,18.5,0.0000,0.3900
4.2,0.06,32-36,19.5,0.0000,0.4500
4.2,0.06,>=36,20.0,0.0000,0.4800
4.2,0.08,<28,18.0,0.0000,0.4800
4.2,0.08,28-32,18.5,0.0000,0.5200
4.2,0.08,32-36,19.5,0.0000,0.6000
4.2,0.08,>=36,20.0,0.0000,0.6400
4.2,0.10,<28,18.0,0.0000,0.6000
4.2,0.10,28-32,18.5,0.0000,0.6500
4.2,0.10,32-36,19.5,0.0000,0.7500
4.2,0.10,>=36,20.0,0.0000,0.8000
