scenario,persona,day_type,sequence,activity_id,activity_name,zone,arrival_time,queue_wait_min,standby_wait_min,start_time,end_time,walk_min,duration_min,utility,score_contribution
问题1优化路线,普通游客,工作日,1,roaring_rapids,雷鸣山漂流,探险岛,09:10,34,0,09:44,09:54,10,10,8.0,6.63
问题1优化路线,普通游客,工作日,2,tron,创极速光轮,明日世界,10:04,34,0,10:38,10:43,10,5,10.0,8.63
问题1优化路线,普通游客,工作日,3,parade,米奇童话专列,奇想花园,10:51,0,84,12:15,12:45,8,30,8.0,6.176
问题1优化路线,普通游客,工作日,4,lunch,午餐休整,奇想花园,12:48,4,0,12:52,13:37,3,45,5.0,4.806
问题1优化路线,普通游客,工作日,5,pirates,加勒比海盗,宝藏湾,13:46,30,0,14:16,14:26,9,10,9.0,7.788
问题1优化路线,普通游客,工作日,6,castle_show,城堡日间演出,奇想花园,14:35,0,55,15:30,15:55,9,25,6.0,4.7379999999999995
问题1优化路线,普通游客,工作日,7,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,4.0,1.898
问题1优化路线,普通游客,工作日,8,soaring,飞越地平线,探险岛,18:25,52,0,19:17,19:25,9,8,10.0,8.017999999999999
问题1优化路线,普通游客,工作日,9,seven_dwarfs,七个小矮人矿山车,梦幻世界,19:33,32,0,20:05,20:11,8,6,8.0,6.736
问题1优化路线,普通游客,工作日,10,fireworks,奇梦之光幻影秀,奇想花园,20:16,0,14,20:30,20:55,5,25,11.0,10.63
问题1优化路线,普通游客,双休日,1,seven_dwarfs,七个小矮人矿山车,梦幻世界,09:06,60,0,10:06,10:12,6,6,8.0,5.792000000000001
问题1优化路线,普通游客,双休日,2,tron,创极速光轮,明日世界,10:22,56,0,11:18,11:23,10,5,10.0,7.859999999999999
问题1优化路线,普通游客,双休日,3,parade,米奇童话专列,奇想花园,11:31,0,44,12:15,12:45,8,30,8.0,6.976
