scenario,persona,day_type,sequence,activity_id,activity_name,zone,arrival_time,queue_wait_min,standby_wait_min,start_time,end_time,walk_min,duration_min,utility,score_contribution
问题2实时调整路线,普通游客,工作日,1,pirates,加勒比海盗,宝藏湾,13:46,16,0,14:02,14:12,9,10,9.0,8.277999999999999
问题2实时调整路线,普通游客,工作日,2,castle_show,城堡日间演出,奇想花园,14:21,0,69,15:30,15:55,9,25,6.0,4.458
问题2实时调整路线,普通游客,工作日,3,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,4.0,1.898
问题2实时调整路线,普通游客,工作日,4,soaring,飞越地平线,探险岛,18:25,57,0,19:22,19:30,9,8,10.0,7.842999999999999
问题2实时调整路线,普通游客,工作日,5,seven_dwarfs,七个小矮人矿山车,梦幻世界,19:38,38,0,20:16,20:22,8,6,8.0,6.526
问题2实时调整路线,普通游客,工作日,6,fireworks,奇梦之光幻影秀,奇想花园,20:27,0,3,20:30,20:55,5,25,11.0,10.85
问题2实时调整路线,普通游客,双休日,1,roaring_rapids,雷鸣山漂流,探险岛,13:49,83,0,15:12,15:22,8,10,8.0,4.951
问题2实时调整路线,普通游客,双休日,2,castle_show,城堡日间演出,奇想花园,15:30,0,0,15:30,15:55,8,25,6.0,5.856
问题2实时调整路线,普通游客,双休日,3,pirates,加勒比海盗,宝藏湾,16:04,59,0,17:03,17:13,9,10,9.0,6.773
问题2实时调整路线,普通游客,双休日,4,dinner,晚餐休整,米奇大街,17:23,12,7,17:42,18:22,10,40,4.0,3.26
问题2实时调整路线,普通游客,双休日,5,soaring,飞越地平线,探险岛,18:31,85,0,19:56,20:04,9,8,10.0,6.863
问题2实时调整路线,普通游客,双休日,6,fireworks,奇梦之光幻影秀,奇想花园,20:11,0,19,20:30,20:55,7,25,11.0,10.494
问题2实时调整路线,普通游客,节假日,1,castle_show,城堡日间演出,奇想花园,13:49,0,101,15:30,15:55,3,25,6.0,3.9259999999999997
问题2实时调整路线,普通游客,节假日,2,pirates,加勒比海盗,宝藏湾,16:04,100,0,17:44,17:54,9,10,9.0,5.338
问题2实时调整路线,普通游客,节假日,3,tron,创极速光轮,明日世界,18:01,117,0,19:58,20:03,7,5,10.0,5.778999999999999
问题2实时调整路线,普通游客,节假日,4,fireworks,奇梦之光幻影秀,奇想花园,20:11,0,19,20:30,20:55,8,25,11.0,10.475999999999999
问题2实时调整路线,家庭亲子游,工作日,1,crystal_grotto,晶彩奇航,梦幻世界,14:19,19,0,14:38,14:50,4,12,8.0,6.843
问题2实时调整路线,家庭亲子游,工作日,2,castle_show,城堡日间演出,奇想花园,14:54,0,36,15:30,15:55,4,25,10.0,9.168
问题2实时调整路线,家庭亲子游,工作日,3,dinner,晚餐休整,米奇大街,15:59,6,91,17:36,18:16,4,40,7.0,4.7379999999999995
问题2实时调整路线,家庭亲子游,工作日,4,pooh,小熊维尼历险记,梦幻世界,18:22,24,0,18:46,18:52,6,6,9.0,7.512
问题2实时调整路线,家庭亲子游,工作日,5,alice_maze,爱丽丝梦游仙境迷宫,梦幻世界,18:56,10,0,19:06,19:26,4,20,8.0,7.338
问题2实时调整路线,家庭亲子游,工作日,6,peter_pan,小飞侠天空奇遇,梦幻世界,19:30,25,0,19:55,20:02,4,7,9.0,7.513
问题2实时调整路线,家庭亲子游,工作日,7,fireworks,奇梦之光幻影秀,奇想花园,20:08,0,22,20:30,20:55,6,25,8.0,7.3919999999999995
