day_type,activity_id,activity_name,planned_wait_at_1330_min,realtime_wait_at_1330_min,delta_min
工作日,mickey_photo,米奇大街合影,4,4,0
工作日,garden_walk,奇想花园漫游,4,4,0
工作日,soaring,飞越地平线,47,67,20
工作日,roaring_rapids,雷鸣山漂流,38,48,10
工作日,tron,创极速光轮,38,53,15
工作日,buzz,巴斯光年星际营救,21,16,-5
工作日,pirates,加勒比海盗,30,15,-15
工作日,rex_racer,抱抱龙冲天赛车,26,26,0
工作日,woody_roundup,胡迪牛仔嘉年华,17,17,0
工作日,seven_dwarfs,七个小矮人矿山车,42,62,20
工作日,peter_pan,小飞侠天空奇遇,30,40,10
工作日,pooh,小熊维尼历险记,21,21,0
工作日,crystal_grotto,晶彩奇航,17,12,-5
工作日,alice_maze,爱丽丝梦游仙境迷宫,8,8,0
工作日,lunch,午餐休整,4,4,0
工作日,dinner,晚餐休整,4,4,0
双休日,mickey_photo,米奇大街合影,7,7,0
双休日,garden_walk,奇想花园漫游,7,7,0
双休日,soaring,飞越地平线,68,103,35
双休日,roaring_rapids,雷鸣山漂流,60,84,24
双休日,tron,创极速光轮,64,94,30
双休日,buzz,巴斯光年星际营救,38,43,5
双休日,pirates,加勒比海盗,47,37,-10
双休日,rex_racer,抱抱龙冲天赛车,47,67,20
双休日,woody_roundup,胡迪牛仔嘉年华,34,29,-5
双休日,seven_dwarfs,七个小矮人矿山车,68,103,35
双休日,peter_pan,小飞侠天空奇遇,51,71,20
双休日,pooh,小熊维尼历险记,38,48,10
双休日,crystal_grotto,晶彩奇航,30,20,-10
双休日,alice_maze,爱丽丝梦游仙境迷宫,17,17,0
双休日,lunch,午餐休整,8,8,0
双休日,dinner,晚餐休整,8,8,0
节假日,mickey_photo,米奇大街合影,10,10,0
节假日,garden_walk,奇想花园漫游,10,10,0
节假日,soaring,飞越地平线,102,157,55
节假日,roaring_rapids,雷鸣山漂流,89,129,40
节假日,tron,创极速光轮,94,144,50
节假日,buzz,巴斯光年星际营救,60,80,20
节假日,pirates,加勒比海盗,72,77,5
节假日,rex_racer,抱抱龙冲天赛车,72,107,35
节假日,woody_roundup,胡迪牛仔嘉年华,51,61,10
节假日,seven_dwarfs,七个小矮人矿山车,102,152,50
节假日,peter_pan,小飞侠天空奇遇,76,112,36
节假日,pooh,小熊维尼历险记,60,84,24
节假日,crystal_grotto,晶彩奇航,47,32,-15
节假日,alice_maze,爱丽丝梦游仙境迷宫,30,30,0
节假日,lunch,午餐休整,13,13,0
节假日,dinner,晚餐休整,13,13,0
